splitter,chunk_size,overlap,retriever,k,n_chunks,n_queries_scored,recall,ndcg
char,256,64,faiss_hnsw,10,45355,61,0.3975409836065574,0.30362770994827937
char,256,64,faiss_flat,10,45355,61,0.38934426229508196,0.30218626570722895
char,256,64,chroma,10,45355,61,0.38934426229508196,0.30218626570722895
recursive_char,512,100,faiss_flat,10,29996,61,0.3907103825136612,0.29740080652170603
recursive_char,512,100,faiss_hnsw,10,29996,61,0.37431693989071035,0.29617662872098455
recursive_char,256,64,faiss_hnsw,10,53567,61,0.3729508196721312,0.2828714713667713
recursive_char,256,64,faiss_flat,10,53567,61,0.36475409836065575,0.2656761209420431
recursive_char,256,64,chroma,10,53567,61,0.3401639344262295,0.25554317049546915
token,256,40,bm25,10,15610,61,0.27377049180327867,0.17610777265974248
token,128,20,bm25,10,21450,61,0.24918032786885244,0.16606966995641234
char,512,100,bm25,10,24524,61,0.24098360655737705,0.165479925979957
char,256,64,bm25,10,45355,61,0.24918032786885244,0.16490835503832066
recursive_char,512,100,bm25,10,29996,61,0.2040983606557377,0.13583336758293296
recursive_char,256,64,bm25,10,53567,61,0.2024590163934426,0.13220635559102462
token,256,40,faiss_flat,20,15610,61,0.5546448087431693,0.36080273312881955
token,256,40,faiss_hnsw,20,15610,61,0.5546448087431693,0.36080273312881955
token,256,40,chroma,20,15610,61,0.5382513661202185,0.34866315505084633
char,512,100,chroma,20,24524,61,0.5505464480874316,0.3483734573358919
char,512,100,faiss_flat,20,24524,61,0.5505464480874316,0.34834972757601723
char,512,100,faiss_hnsw,20,24524,61,0.5505464480874316,0.34834972757601723
recursive_char,512,100,chroma,20,29996,61,0.5259562841530054,0.345780192263045
recursive_char,512,100,faiss_flat,20,29996,61,0.5259562841530054,0.3323932044238153
token,128,20,faiss_flat,20,21450,61,0.5136612021857924,0.32995275149802766
token,128,20,faiss_hnsw,20,21450,61,0.5136612021857924,0.32995275149802766
token,128,20,chroma,20,21450,61,0.5218579234972678,0.3297878380455605
recursive_char,512,100,faiss_hnsw,20,29996,61,0.4931693989071038,0.324995974790376
char,256,64,faiss_hnsw,20,45355,61,0.4849726775956284,0.31632751827604866
char,256,64,chroma,20,45355,61,0.4849726775956284,0.31577199953090207
char,256,64,faiss_flat,20,45355,61,0.4849726775956284,0.3156623026419287
recursive_char,256,64,faiss_hnsw,20,53567,61,0.4849726775956284,0.31359809400840005
recursive_char,256,64,faiss_flat,20,53567,61,0.45491803278688525,0.2938584479377798
recursive_char,256,64,chroma,20,53567,61,0.44398907103825136,0.286434706589565
token,256,40,bm25,20,15610,61,0.33114754098360655,0.19391478485021857
token,128,20,bm25,20,21450,61,0.2983606557377049,0.17893396780886883
char,256,64,bm25,20,45355,61,0.30163934426229505,0.1747130280827587
char,512,100,bm25,20,24524,61,0.2819672131147541,0.17357515232962592
recursive_char,512,100,bm25,20,29996,61,0.2532786885245902,0.14723242432108405
recursive_char,256,64,bm25,20,53567,61,0.23852459016393443,0.14314180651605968
