splitter,chunk_size,overlap,retriever,reranker,k,n_chunks,n_queries_scored,recall,ndcg
char,256,40,cosine_numpy,cross_encoder,20,42451,61,0.5095628415300546,0.32438499428680223
char,256,40,faiss_flat,cross_encoder,20,42451,61,0.5095628415300546,0.32438499428680223
char,256,40,hybrid_rrf,cross_encoder,20,42451,61,0.5122950819672131,0.3035646448188881
char,512,0,hybrid_rrf,cross_encoder,20,23266,61,0.5464480874316939,0.3000044418512347
recursive_char,256,64,cosine_numpy,cross_encoder,20,53567,61,0.45491803278688525,0.29904183178646954
recursive_char,256,64,faiss_flat,cross_encoder,20,53567,61,0.45491803278688525,0.29350533195820033
token,128,20,hybrid_rrf,cross_encoder,20,21450,61,0.4816939890710382,0.27269098535867714
recursive_char,256,64,hybrid_rrf,cross_encoder,20,53567,61,0.3975409836065574,0.21105556322135433
char,256,40,bm25,cross_encoder,20,42451,61,0.3180327868852459,0.19656180979033075
token,128,20,bm25,cross_encoder,20,21450,61,0.2983606557377049,0.17893396780886883
char,512,0,bm25,cross_encoder,20,23266,61,0.2983606557377049,0.17166954385228567
recursive_char,256,64,bm25,cross_encoder,20,53567,61,0.23852459016393443,0.14314180651605968
